,index,Item_Identifier,Item_MRP,Item_Outlet_Sales,Item_Type,Item_Visibility,Item_Weight,Outlet_Establishment_Year,Outlet_Identifier,Source,Item_Fat_Content_0,Item_Fat_Content_1,Outlet_Location_Type_0,Outlet_Location_Type_1,Outlet_Location_Type_2,Outlet_Size_0,Outlet_Size_1,Outlet_Size_2,Outlet_Type_0,Outlet_Type_1,Outlet_Type_2,Outlet_Type_3,Item_Category_0,Item_Category_1,Item_Category_2,Outlet_0,Outlet_1,Outlet_2,Outlet_3,Outlet_4,Outlet_5,Outlet_6,Outlet_7,Outlet_8,Outlet_9
12,12,FDX32,145.4786,1589.2646,Fruits and Vegetables,145.4786,15.1,1999,OUT049,train,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,13,FDS46,119.6782,2145.2076,Snack Foods,119.6782,17.6,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,14,FDF32,196.4426,1977.4260000000002,Fruits and Vegetables,196.4426,16.35,1987,OUT013,train,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
15,15,FDP49,56.3614,1547.3192,Breakfast,56.3614,9.0,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
16,16,NCB42,115.3492,1621.8888,Health and Hygiene,115.3492,11.8,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
17,17,FDP49,54.3614,718.3982,Breakfast,54.3614,9.0,1999,OUT049,train,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
18,18,DRI11,113.2834,2303.6679999999997,Hard Drinks,113.2834,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0
19,19,FDU02,230.5352,2748.4224,Dairy,230.5352,13.35,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
20,20,FDN22,250.8724,3775.086,Snack Foods,250.8724,18.85,1987,OUT013,train,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
21,21,FDW12,144.5444,4064.0432,Baking Goods,144.5444,12.792854228644991,1985,OUT027,train,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
22,22,NCB30,196.5084,1587.2672,Household,196.5084,14.6,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
23,23,FDC37,107.6938,214.3876,Baking Goods,107.6938,12.792854228644991,1985,OUT019,train,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
24,24,FDR28,165.021,4078.025,Frozen Foods,165.021,13.85,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
25,25,NCD06,45.906000000000006,838.908,Household,45.906000000000006,13.0,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
26,26,FDV10,42.3112,1065.28,Snack Foods,42.3112,7.645,2004,OUT035,train,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
27,27,DRJ59,39.1164,308.9312,Hard Drinks,39.1164,11.65,1987,OUT013,train,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
28,28,FDE51,45.5086,178.4344,Dairy,45.5086,5.925,1998,OUT010,train,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
29,29,FDC14,43.6454,125.8362,Canned,43.6454,12.792854228644991,1985,OUT019,train,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
30,30,FDV38,55.7956,163.7868,Dairy,55.7956,19.25,1998,OUT010,train,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
31,31,NCS17,96.4436,2741.7644,Health and Hygiene,96.4436,18.6,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0
32,32,FDP33,256.6672,3068.0064,Snack Foods,256.6672,18.7,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
33,33,FDO23,93.1436,2174.5028,Breads,93.1436,17.85,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
34,34,DRH01,174.8738,2085.2856,Soft Drinks,174.8738,17.5,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
35,35,NCX29,146.7102,3791.0652,Health and Hygiene,146.7102,10.0,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
36,36,FDV20,128.0678,2797.6916,Fruits and Vegetables,128.0678,12.792854228644991,1985,OUT027,train,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
37,37,DRZ11,122.5388,1609.9044,Soft Drinks,122.5388,8.85,2009,OUT018,train,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0
38,38,FDX10,36.9874,388.1614,Snack Foods,36.9874,12.792854228644991,1985,OUT027,train,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
39,39,FDB34,87.6198,2180.495,Snack Foods,87.6198,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
40,40,FDU02,230.6352,3435.528,Dairy,230.6352,13.35,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
41,41,FDK43,126.00200000000001,2150.534,Meat,126.00200000000001,9.8,1987,OUT013,train,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
42,42,FDA46,192.9136,2527.3768,Snack Foods,192.9136,13.6,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,43,FDC02,259.9278,6768.5228,Canned,259.9278,21.35,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
44,44,FDL50,126.5046,373.5138,Canned,126.5046,12.15,1987,OUT013,train,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
45,45,FDM39,178.1002,358.2004,Dairy,178.1002,6.42,1998,OUT010,train,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
46,46,NCP05,153.3024,2428.8384,Health and Hygiene,153.3024,19.6,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
47,47,FDV49,265.2226,5815.0972,Canned,265.2226,10.0,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
48,48,FDL12,60.622,2576.646,Baking Goods,60.622,15.85,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
49,49,FDS02,196.8794,780.3176,Dairy,196.8794,12.792854228644991,1985,OUT019,train,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
50,50,NCL17,143.8812,3134.5864,Health and Hygiene,143.8812,7.39,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
51,51,FDM40,141.5154,850.8924,Frozen Foods,141.5154,10.195,1987,OUT013,train,1,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
52,52,FDR13,117.0492,810.9444,Canned,117.0492,9.895,1987,OUT013,train,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
53,53,FDA43,196.3794,3121.2704,Fruits and Vegetables,196.3794,10.895,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
54,54,NCP18,151.4708,4815.0656,Household,151.4708,12.15,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
55,55,FDK21,249.0408,6258.52,Snack Foods,249.0408,7.905,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
56,56,NCX54,106.1622,2117.244,Household,106.1622,9.195,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
57,57,DRK35,38.0506,796.9626,Hard Drinks,38.0506,8.365,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
58,58,FDY21,194.511,4910.275,Snack Foods,194.511,15.1,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
59,59,FDI26,180.0344,892.172,Canned,180.0344,12.792854228644991,1985,OUT019,train,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
60,60,FDM20,246.9144,3185.1872,Fruits and Vegetables,246.9144,10.0,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
61,61,FDV27,87.3514,1062.6168,Meat,87.3514,7.97,2002,OUT045,train,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
62,62,FDF09,38.2848,484.7024,Fruits and Vegetables,38.2848,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
63,63,FDY40,51.0692,147.8076,Frozen Foods,51.0692,12.792854228644991,1985,OUT019,train,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
64,64,FDY45,255.8356,2543.356,Snack Foods,255.8356,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
65,65,FDC46,185.4266,184.4266,Snack Foods,185.4266,17.7,1998,OUT010,train,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
66,66,FDH19,172.5738,4865.6664,Meat,172.5738,19.35,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
67,67,FDZ03,186.024,1118.5439999999999,Dairy,186.024,13.65,2002,OUT045,train,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
68,68,DRH37,164.8526,2302.3364,Soft Drinks,164.8526,17.6,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
69,69,NCI17,95.84100000000001,2027.361,Health and Hygiene,95.84100000000001,8.645,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
70,70,FDJ58,170.1764,3435.528,Snack Foods,170.1764,15.6,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
71,71,FDL12,59.222,599.22,Baking Goods,59.222,15.85,1987,OUT013,train,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
72,72,FDH35,164.7526,4604.6728,Starchy Foods,164.7526,18.25,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
73,73,FDG02,189.6188,2285.0256,Canned,189.6188,7.855,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
74,74,NCZ18,254.3698,5580.7356,Household,254.3698,7.825,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
75,75,FDC29,114.0176,2290.3520000000003,Frozen Foods,114.0176,8.39,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
76,76,FDQ10,172.3422,1207.0954,Snack Foods,172.3422,12.85,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
77,77,FDN48,89.9804,643.1628,Baking Goods,89.9804,12.792854228644991,1985,OUT019,train,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
78,78,FDL04,104.9622,1587.933,Frozen Foods,104.9622,19.0,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
79,79,FDV25,222.5456,5305.0944,Canned,222.5456,5.905,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
80,80,FDD58,101.87,1697.79,Snack Foods,101.87,7.76,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
81,81,FDN04,180.3344,1427.4752,Frozen Foods,180.3344,11.8,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
82,82,FDV45,187.9556,4693.89,Snack Foods,187.9556,16.75,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
83,83,NCL18,194.6136,583.2408,Household,194.6136,12.792854228644991,1985,OUT019,train,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
84,84,FDR12,171.3764,3091.9752,Baking Goods,171.3764,12.792854228644991,1985,OUT027,train,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
85,85,FDG20,177.0028,2479.4392,Fruits and Vegetables,177.0028,15.5,2007,OUT017,train,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
86,86,FDZ55,160.99200000000002,2716.4640000000004,Fruits and Vegetables,160.99200000000002,6.055,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
87,87,FDQ49,155.963,3285.723,Breakfast,155.963,12.792854228644991,1985,OUT027,train,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
88,88,FDN33,95.6436,661.8052,Snack Foods,95.6436,6.305,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
89,89,FDN27,117.2808,1523.3504,Meat,117.2808,20.85,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
90,90,FDW20,122.17299999999999,369.519,Fruits and Vegetables,122.17299999999999,20.75,1998,OUT010,train,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
91,91,DRG27,39.9138,690.4346,Dairy,39.9138,8.895,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
92,92,DRI25,55.1614,1381.535,Soft Drinks,55.1614,19.6,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
93,93,FDA44,57.893,622.523,Fruits and Vegetables,57.893,19.7,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
94,94,NCR17,114.5492,1274.3412,Health and Hygiene,114.5492,9.8,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
95,95,FDU04,120.0414,487.3656,Frozen Foods,120.0414,12.792854228644991,1985,OUT019,train,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
96,96,FDF41,246.046,1231.73,Frozen Foods,246.046,12.15,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
97,97,FDB56,187.4556,3755.112,Fruits and Vegetables,187.4556,8.75,2004,OUT035,train,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
98,98,NCP18,149.9708,4363.6532,Household,149.9708,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
99,99,FDB56,187.8556,1314.2892,Fruits and Vegetables,187.8556,8.75,1997,OUT046,train,0,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
100,100,FDT28,151.0708,1805.6496,Frozen Foods,151.0708,13.3,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
101,101,FDD10,178.5344,2854.9504,Snack Foods,178.5344,12.792854228644991,1985,OUT027,train,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
102,102,FDW57,179.1028,3896.2616,Snack Foods,179.1028,8.31,1999,OUT049,train,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
103,103,DRB48,38.7822,667.7974,Soft Drinks,38.7822,16.75,1987,OUT013,train,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
104,104,FDP09,212.0902,3185.853,Snack Foods,212.0902,19.75,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
105,105,FDH14,141.1838,2247.7408,Canned,141.1838,17.1,1987,OUT013,train,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
106,106,FDA47,163.121,1794.3310000000001,Baking Goods,163.121,10.5,1987,OUT013,train,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
107,107,FDG12,121.3098,2530.7058,Baking Goods,121.3098,6.635,2002,OUT045,train,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
108,108,DRE60,225.372,679.1160000000001,Soft Drinks,225.372,12.792854228644991,1985,OUT019,train,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
109,109,DRK49,41.4138,812.2760000000001,Soft Drinks,41.4138,14.15,1987,OUT013,train,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
110,110,FDD03,232.53,699.09,Dairy,232.53,13.3,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
111,111,FDS52,102.4016,2732.4432,Frozen Foods,102.4016,8.89,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
112,112,FDW39,176.937,176.437,Meat,176.937,12.792854228644991,1985,OUT019,train,0,1,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
113,113,FDX34,121.7098,4097.3332,Snack Foods,121.7098,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
114,114,FDV11,173.2054,3151.8972,Breads,173.2054,9.1,2002,OUT045,train,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
115,115,FDD17,239.0906,5942.265,Frozen Foods,239.0906,7.5,1999,OUT049,train,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
116,116,FDZ16,192.4478,4843.695,Frozen Foods,192.4478,16.85,2007,OUT017,train,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
117,117,FDZ46,109.0228,2542.0244,Snack Foods,109.0228,7.485,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
118,118,DRA12,140.3154,2552.6772,Soft Drinks,140.3154,11.6,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
119,119,FDY58,227.0694,1141.847,Snack Foods,227.0694,11.65,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
120,120,NCF19,47.5034,680.4476,Household,47.5034,13.0,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
121,121,DRJ13,159.0578,2085.9514,Soft Drinks,159.0578,12.65,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
122,122,FDB14,92.512,186.424,Canned,92.512,20.25,1998,OUT010,train,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
123,123,FDJ38,190.153,3036.048,Canned,190.153,8.6,2004,OUT035,train,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
124,124,FDW11,62.7194,866.8716,Breads,62.7194,12.6,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
125,125,FDL40,95.041,868.8689999999999,Frozen Foods,95.041,17.7,2004,OUT035,train,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
126,126,DRI49,82.4276,1137.1864,Soft Drinks,82.4276,14.15,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
127,127,FDV38,52.7956,928.1252,Dairy,52.7956,19.25,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
128,128,DRG23,151.7682,762.341,Hard Drinks,151.7682,8.88,1987,OUT013,train,1,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
129,129,NCP30,40.2822,707.0796,Household,40.2822,20.5,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
130,130,FDY25,180.5976,7968.2944,Canned,180.5976,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
131,131,NCH54,160.292,1438.128,Household,160.292,13.5,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
132,132,NCR53,224.4404,6976.2524,Health and Hygiene,224.4404,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
133,133,FDS52,101.7016,101.2016,Frozen Foods,101.7016,8.89,1998,OUT010,train,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
134,134,FDG02,188.5188,952.0939999999999,Canned,188.5188,7.855,2009,OUT018,train,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
135,135,NCO26,116.0492,1969.4364,Household,116.0492,7.235,1997,OUT046,train,1,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
136,136,FDH35,165.4526,5262.4832,Starchy Foods,165.4526,12.792854228644991,1985,OUT027,train,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
137,137,FDB51,60.5852,1314.2892,Dairy,60.5852,6.92,2002,OUT045,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
138,138,FDX44,90.8172,535.3032,Fruits and Vegetables,90.8172,9.3,2007,OUT017,train,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
